HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
"90A Street 8 Go Vap District, Thành phố Hồ Chí Minh 70000 Việt Nam",NA,NA,NA,"Tiếng Việt, Tiếng Anh",,Sao Viet Hotel,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Sao Viet Hotel có điểm du lịch nổi tiếng nào?, ,Sao Viet Hotel có những tiện nghi tại cơ sở kinh doanh gì?, ,Sao Viet Hotel có những tiện nghi phòng gì?, ,Sao Viet Hotel có chỗ đỗ xe không?, ,Gần Sao Viet Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d5508072-Reviews-Sao_Viet_Hotel-Ho_Chi_Minh_City.html
"L19 Street No. 14, Him Lam Residence, Tan Hung Ward, Thành phố Hồ Chí Minh 70000 Việt Nam",9,38,NA,,,RedDoorz Bin Bin 2 Hotel near Him Lam D7,627.907 ₫,395.349 ₫,"395.349 ₫, - ,627.907 ₫","Gần RedDoorz Bin Bin 2 Hotel near Him Lam D7 có điểm du lịch nổi tiếng nào?, ,Gần RedDoorz Bin Bin 2 Hotel near Him Lam D7 có nhà hàng nào?, ",NA,NA,NA,NA,NA,14,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23355279-Reviews-RedDoorz_Bin_Bin_2_Hotel_near_Him_Lam_D7-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Golden House Hotel,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21040870-Reviews-Golden_House_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Hoang Le Hotel Ho Chi Minh City,348.837 ₫,325.581 ₫,"325.581 ₫, - ,348.837 ₫",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21040746-Reviews-Hoang_Le_Hotel_Ho_Chi_Minh_City-Ho_Chi_Minh_City.html
"470 Nguyen Van Linh Phuong Tan Phu, District 7, Thành phố Hồ Chí Minh 756335 Việt Nam",5,47,NA,,,Hotel Thien Phat,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Hotel Thien Phat có điểm du lịch nổi tiếng nào?, ,Gần Hotel Thien Phat có nhà hàng nào?, ,Có di tích lịch sử nào gần Hotel Thien Phat không?, ",NA,NA,NA,NA,20,48,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15220573-Reviews-Hotel_Thien_Phat-Ho_Chi_Minh_City.html
"2 197, Tran Ke Xuong Phu Nhuan, Thành phố Hồ Chí Minh 70000 Việt Nam",1,68,NA,,,Le Ngan Phung Hotel,20,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh,20","Gần Le Ngan Phung Hotel có điểm du lịch nổi tiếng nào?, ,Gần Le Ngan Phung Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,15,NA,20,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d7813613-Reviews-Le_Ngan_Phung_Hotel-Ho_Chi_Minh_City.html
"Bau Cat, 26-28, Thành phố Hồ Chí Minh 70000 Việt Nam",3,55,NA,,,Phat Phat Loc Hotel,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Phat Phat Loc Hotel có điểm du lịch nổi tiếng nào?, ,Gần Phat Phat Loc Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,47,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23347549-Reviews-Phat_Phat_Loc_Hotel-Ho_Chi_Minh_City.html
"16 Ba Vi Street, 16 Ba Vi Street, Ward 4, Thành phố Hồ Chí Minh 700000 Việt Nam",2,65,NA,,,RedDoorz Plus near Hoang Van Thu Park 1,418.605 ₫,395.349 ₫,"395.349 ₫, - ,418.605 ₫","Gần RedDoorz Plus near Hoang Van Thu Park 1 có điểm du lịch nổi tiếng nào?, ,Gần RedDoorz Plus near Hoang Van Thu Park 1 có nhà hàng nào?, ",NA,NA,NA,NA,NA,15,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23347585-Reviews-RedDoorz_Plus_near_Hoang_Van_Thu_Park_1-Ho_Chi_Minh_City.html
"22 243, Chu Van An Street, Ward 12, Binh Thanh District, Binh Thanh - Gia Dinh, Thành phố Hồ Chí Minh 70000 Việt Nam",1,37,NA,,,Paris Hotel,20,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh,20","Gần Paris Hotel có điểm du lịch nổi tiếng nào?, ,Paris Hotel có những tiện nghi tại cơ sở kinh doanh gì?, ,Paris Hotel có những lựa chọn đồ ăn & đồ uống gì?, ,Gần Paris Hotel có nhà hàng nào?, ,Paris Hotel có dịch vụ đưa đón tại sân bay không?, ",NA,NA,NA,NA,NA,33,NA,20,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d6588249-Reviews-Paris_Hotel-Ho_Chi_Minh_City.html
"86 Truong Quyen District 3, Thành phố Hồ Chí Minh Việt Nam",18,93,NA,,,Tran House Indochina,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Tran House Indochina có điểm du lịch nổi tiếng nào?, ,Gần Tran House Indochina có nhà hàng nào?, ",NA,NA,NA,NA,NA,143,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15220559-Reviews-Tran_House_Indochina-Ho_Chi_Minh_City.html
"27/13 Nguyen Thai Binh, Thành phố Hồ Chí Minh Việt Nam",1,61,NA,,,Phuong Guesthouse,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Phuong Guesthouse có điểm du lịch nổi tiếng nào?, ,Gần Phuong Guesthouse có nhà hàng nào?, ",NA,NA,NA,NA,NA,37,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d17638019-Reviews-Phuong_Guesthouse-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,An Phu Hotel,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d20106286-Reviews-An_Phu_Hotel-Ho_Chi_Minh_City.html
"39 Ben Van Don, Ward 12, District 4 - The Tresor - AP2 Lobby, Thành phố Hồ Chí Minh Việt Nam",24,95,NA,,,S Lux Apartment,1.465.116 ₫,1.302.326 ₫,"1.302.326 ₫, - ,1.465.116 ₫","Gần S Lux Apartment có điểm du lịch nổi tiếng nào?, ,Gần S Lux Apartment có nhà hàng nào?, ",NA,NA,NA,NA,NA,116,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21398351-Reviews-S_Lux_Apartment-Ho_Chi_Minh_City.html
"82/12 Mac Dinh Chi Street, Thành phố Hồ Chí Minh Việt Nam",22,97,NA,"Tiếng Việt, Tiếng Anh, Tiếng Trung, Tiếng Nhật",,AN Homestay,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần AN Homestay có điểm du lịch nổi tiếng nào?, ,AN Homestay có những tiện nghi tại cơ sở kinh doanh gì?, ,AN Homestay có những tiện nghi phòng gì?, ,Gần AN Homestay có nhà hàng nào?, ,Nhân viên tại AN Homestay nói ngôn ngữ gì?, ",NA,NA,NA,NA,NA,239,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d12802788-Reviews-AN_Homestay-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,OYO 138 Aparthotel 18,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d20312033-Reviews-OYO_138_Aparthotel_18-Ho_Chi_Minh_City.html
"744/2, Nguyen Kiem, Ward 4 Phu Nhuan Dist, Thành phố Hồ Chí Minh 700000 Việt Nam",3,43,NA,,,Universe Hotel & Apartment 1,Thành phố Hồ Chí Minh,OYO 304 Universe Apartment,"OYO 304 Universe Apartment,Việt Nam,Thành phố Hồ Chí Minh","Gần Universe Hotel & Apartment 1 có điểm du lịch nổi tiếng nào?, ,Universe Hotel & Apartment 1 có chỗ đỗ xe không?, ,Gần Universe Hotel & Apartment 1 có nhà hàng nào?, ",NA,NA,NA,NA,NA,33,NA,77,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d20311986-Reviews-Universe_Hotel_Apartment_1-Ho_Chi_Minh_City.html
"Khu pho Nam Long 2 101.103 Duong Pham Thai Buong, Thành phố Hồ Chí Minh Việt Nam",4,63,NA,,,Dream Vina Hotel,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Dream Vina Hotel có điểm du lịch nổi tiếng nào?, ,Gần Dream Vina Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,37,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d17586771-Reviews-Dream_Vina_Hotel-Ho_Chi_Minh_City.html
"47 Duy Tân 47 Duy Tân, Phường 15, Quận Phú Nhuận, Thành phố Hồ Chí Minh Việt Nam",5,75,NA,,,An Nhien Hotel Apartment - Duy Tan,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần An Nhien Hotel Apartment - Duy Tan có điểm du lịch nổi tiếng nào?, ,Gần An Nhien Hotel Apartment - Duy Tan có nhà hàng nào?, ",NA,NA,NA,NA,NA,37,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21504634-Reviews-An_Nhien_Hotel_Apartment_Duy_Tan-Ho_Chi_Minh_City.html
"319/14 Nguyen Cong Tru, Thành phố Hồ Chí Minh Việt Nam",35,95,NA,,,Happy Home,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Happy Home có điểm du lịch nổi tiếng nào?, ,Gần Happy Home có nhà hàng nào?, ",NA,NA,NA,NA,NA,201,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23192457-Reviews-Happy_Home-Ho_Chi_Minh_City.html
"1056 Ha Huy Giap, Thành phố Hồ Chí Minh Việt Nam",NA,NA,NA,,,Hotel Ben Song,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Hotel Ben Song có điểm du lịch nổi tiếng nào?, ,Gần Hotel Ben Song có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21135028-Reviews-Hotel_Ben_Song-Ho_Chi_Minh_City.html
"42 Ton Đan Phuong 13 Quan 4, Thành phố Hồ Chí Minh Việt Nam",4,65,NA,,,Hotel 88,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Hotel 88 có điểm du lịch nổi tiếng nào?, ,Gần Hotel 88 có nhà hàng nào?, ",NA,NA,NA,NA,NA,19,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21504700-Reviews-Hotel_88-Ho_Chi_Minh_City.html
"121/51A Le Thi Rieng, Thành phố Hồ Chí Minh Việt Nam",71,100,NA,Tiếng Anh,,Go Flex,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Go Flex có điểm du lịch nổi tiếng nào?, ,Go Flex có những tiện nghi phòng gì?, ,Go Flex có chỗ đỗ xe không?, ,Gần Go Flex có nhà hàng nào?, ,Go Flex có cho phép vật nuôi không?, ",NA,NA,NA,NA,NA,409,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d13320509-Reviews-Go_Flex-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Coconut Homestay,604.651 ₫,604.651 ₫,"604.651 ₫, - ,604.651 ₫",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15528157-Reviews-Coconut_Homestay-Ho_Chi_Minh_City.html
"220-222 Nguyen Cu Trinh, District 1, Thành phố Hồ Chí Minh 70000 Việt Nam",21,84,NA,"Tiếng Anh, Tiếng Pháp, Tiếng Tây Ban Nha, Tiếng Ý",,Danh Uy 2 Hotel,24,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh,24","Gần Danh Uy 2 Hotel có điểm du lịch nổi tiếng nào?, ,Danh Uy 2 Hotel có những tiện nghi phòng gì?, ,Gần Danh Uy 2 Hotel có nhà hàng nào?, ,Nhân viên tại Danh Uy 2 Hotel nói ngôn ngữ gì?, ",NA,NA,NA,NA,20,120,NA,24,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d6434754-Reviews-Danh_Uy_2_Hotel-Ho_Chi_Minh_City.html
"8a/4B2 Thai Van Lung, Thành phố Hồ Chí Minh Việt Nam",103,100,NA,,,Kizuna Stay Saigon,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Kizuna Stay Saigon có điểm du lịch nổi tiếng nào?, ,Gần Kizuna Stay Saigon có nhà hàng nào?, ",NA,NA,NA,NA,NA,528,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d16659798-Reviews-Kizuna_Stay_Saigon-Ho_Chi_Minh_City.html
"A10 Tran Nao, Dist 2, Thành phố Hồ Chí Minh 70000 Việt Nam",32,59,NA,"Tiếng Việt, Tiếng Anh",,Gia Van Hotel,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Gia Van Hotel có điểm du lịch nổi tiếng nào?, ,Gia Van Hotel có những tiện nghi tại cơ sở kinh doanh gì?, ,Gia Van Hotel có những tiện nghi phòng gì?, ,Gia Van Hotel có chỗ đỗ xe không?, ,Gần Gia Van Hotel có nhà hàng nào?, ,Nhân viên tại Gia Van Hotel nói ngôn ngữ gì?, ",NA,NA,NA,NA,NA,188,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d6938192-Reviews-Gia_Van_Hotel-Ho_Chi_Minh_City.html
"65 Street 19, Binh Tri Dong Binh Tan District, Thành phố Hồ Chí Minh Việt Nam",NA,NA,NA,,,Thanh Nam 3 Hotel,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Thanh Nam 3 Hotel có điểm du lịch nổi tiếng nào?, ,Gần Thanh Nam 3 Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d17637070-Reviews-Thanh_Nam_3_Hotel-Ho_Chi_Minh_City.html
"108 Le Lai Street, Thành phố Hồ Chí Minh Việt Nam",82,100,NA,,,7S Hotel My Anh Central Saigon Ben Thanh Market,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần 7S Hotel My Anh Central Saigon Ben Thanh Market có điểm du lịch nổi tiếng nào?, ,Gần 7S Hotel My Anh Central Saigon Ben Thanh Market có nhà hàng nào?, ",NA,NA,NA,NA,NA,524,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21237659-Reviews-7S_Hotel_My_Anh_Central_Saigon_Ben_Thanh_Market-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,River Gate Residence-Gem Penthouse,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21340563-Reviews-River_Gate_Residence_Gem_Penthouse-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,The White Luxury Hotel Ho Chi Minh City,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21494721-Reviews-The_White_Luxury_Hotel_Ho_Chi_Minh_City-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Ngoc Trinh Hotel Binh Tan,348.837 ₫,279.070 ₫,"279.070 ₫, - ,348.837 ₫",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23449347-Reviews-Ngoc_Trinh_Hotel_Binh_Tan-Ho_Chi_Minh_City.html
"433/1 Su Van Hanh Street Ward 12, District 10, Thành phố Hồ Chí Minh Việt Nam",2,65,NA,"Tiếng Việt, Tiếng Anh",,Nang Hong,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Nang Hong có điểm du lịch nổi tiếng nào?, ,Nang Hong có những tiện nghi tại cơ sở kinh doanh gì?, ,Nang Hong có những tiện nghi phòng gì?, ,Nang Hong có chỗ đỗ xe không?, ,Gần Nang Hong có nhà hàng nào?, ,Nang Hong có dịch vụ dọn phòng không?, ,Nhân viên tại Nang Hong nói ngôn ngữ gì?, ",NA,NA,NA,NA,NA,23,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d12184600-Reviews-Nang_Hong-Ho_Chi_Minh_City.html
"6th Floor, Carillon 3 Apartment, 189 Hoang Hoa Tham Street Ward 13, Tan Binh District, Tan Binh, Thành phố Hồ Chí Minh Việt Nam",2,36,NA,,,B's Home No.1,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần B's Home No.1 có điểm du lịch nổi tiếng nào?, ,Gần B's Home No.1 có nhà hàng nào?, ",NA,NA,NA,NA,NA,56,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15323260-Reviews-B_s_Home_No_1-Ho_Chi_Minh_City.html
"176/40 Trần Huy Liệu, Thành phố Hồ Chí Minh Việt Nam",10,72,NA,,,The Arrivals Phu Nhuan,744.186 ₫,627.907 ₫,"627.907 ₫, - ,744.186 ₫","Gần The Arrivals Phu Nhuan có điểm du lịch nổi tiếng nào?, ,Gần The Arrivals Phu Nhuan có nhà hàng nào?, ",NA,NA,NA,NA,NA,45,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23346444-Reviews-The_Arrivals_Phu_Nhuan-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Hotel Hanh Binh,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21134449-Reviews-Hotel_Hanh_Binh-Ho_Chi_Minh_City.html
"5/90 Nguyen Trung Ngan, Quan 1, Thành phố Hồ Chí Minh Việt Nam",19,97,NA,,,Auhome - Fuji Apartment,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Auhome - Fuji Apartment có điểm du lịch nổi tiếng nào?, ,Gần Auhome - Fuji Apartment có nhà hàng nào?, ",NA,NA,NA,NA,NA,148,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21237489-Reviews-Auhome_Fuji_Apartment-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Jenny's Luxury Apartment,1.511.628 ₫,1.093.023 ₫,"1.093.023 ₫, - ,1.511.628 ₫",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21402154-Reviews-Jenny_s_Luxury_Apartment-Ho_Chi_Minh_City.html
"11F/2 Bạch Đằng, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh 700000 Việt Nam",0,60,NA,,,A Villa Hotel,511.628 ₫,441.860 ₫,"441.860 ₫, - ,511.628 ₫","Gần A Villa Hotel có nhà hàng nào?, ",NA,NA,NA,NA,20,17,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21318829-Reviews-A_Villa_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,An Nhien Apartment 3 Ho Chi Minh,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21031564-Reviews-An_Nhien_Apartment_3_Ho_Chi_Minh-Ho_Chi_Minh_City.html
"33 Đuong So 21, Thành phố Hồ Chí Minh Việt Nam",NA,NA,NA,,,Sky Star Hotel,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Sky Star Hotel có điểm du lịch nổi tiếng nào?, ,Gần Sky Star Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23243480-Reviews-Sky_Star_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,OYO 1102 Tra My Hotel,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21134442-Reviews-OYO_1102_Tra_My_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Lancaster Building - Gem Penthouse,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21031557-Reviews-Lancaster_Building_Gem_Penthouse-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Stay In Vietnam Vinhomes Golden River,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23047976-Reviews-Stay_In_Vietnam_Vinhomes_Golden_River-Ho_Chi_Minh_City.html
"159 Xa Lộ Hà Nội Căn hộ 32.06, Khu A, Tòa T2, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh Việt Nam",NA,NA,NA,Tiếng Anh,,Gohome,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Gohome có điểm du lịch nổi tiếng nào?, ,Gohome có những tiện nghi phòng gì?, ,Gần Gohome có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d12595846-Reviews-Gohome-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Star Hotel,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21031523-Reviews-Star_Hotel-Ho_Chi_Minh_City.html
"57/28, Lê Văn Lương Phước Kiển, Nhà Bè, Thành phố Hồ Chí Minh 700000 Việt Nam",NA,NA,NA,,,SPOT ON 695 Sai Gon Dorm,Thành phố Hồ Chí Minh,Sai Gon Dorm,"Sai Gon Dorm,Việt Nam,Thành phố Hồ Chí Minh","Gần SPOT ON 695 Sai Gon Dorm có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,44,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d20311419-Reviews-SPOT_ON_695_Sai_Gon_Dorm-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Motel Trúc Đào,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23346143-Reviews-Motel_Truc_Dao-Ho_Chi_Minh_City.html
"Street No. 19, Thành phố Hồ Chí Minh Việt Nam",29,100,NA,,,Viet Anh Hotel,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh","Gần Viet Anh Hotel có điểm du lịch nổi tiếng nào?, ,Gần Viet Anh Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,196,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d12544355-Reviews-Viet_Anh_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Rustic Hotel,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21135562-Reviews-Rustic_Hotel-Ho_Chi_Minh_City.html
"241/11/2, Pham Ngu Lao, Quan 1, Thành phố Hồ Chí Minh 700000 Việt Nam",80,98,NA,,,Minh Phuong Hotel,Thành phố Hồ Chí Minh,SPOT ON 683 Minh Phuong,"SPOT ON 683 Minh Phuong,Việt Nam,Thành phố Hồ Chí Minh","Gần Minh Phuong Hotel có điểm du lịch nổi tiếng nào?, ,Minh Phuong Hotel có chỗ đỗ xe không?, ,Gần Minh Phuong Hotel có nhà hàng nào?, ",NA,NA,NA,NA,NA,521,NA,50,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d20311281-Reviews-Minh_Phuong_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Phong Van Hotel,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21135475-Reviews-Phong_Van_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Asian Ruby Boutique Hotel,604.651 ₫,488.372 ₫,"488.372 ₫, - ,604.651 ₫",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d23448868-Reviews-Asian_Ruby_Boutique_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Aya D'art Homestay 2,7,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh,7",NA,NA,NA,NA,NA,30,NA,NA,7,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21289769-Reviews-Aya_D_art_Homestay_2-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,92 Hostel,3,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh,3",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21289808-Reviews-92_Hostel-Ho_Chi_Minh_City.html
"625 Ten Lua Hai Thanh Residential, Thành phố Hồ Chí Minh 700000 Việt Nam",NA,NA,NA,,,OYO 1103 Manh Cuong,24,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh,24","Gần OYO 1103 Manh Cuong có nhà hàng nào?, ",NA,NA,NA,NA,NA,NA,NA,24,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21289824-Reviews-OYO_1103_Manh_Cuong-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Anc Hotel Apartment,NA,Việt Nam,"Việt Nam,Thành phố Hồ Chí Minh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d21135439-Reviews-Anc_Hotel_Apartment-Ho_Chi_Minh_City.html
